Species,Locality,Longitude,Latitude
Adélie,Copacabana,−58.456,−62.175
Adélie,Lion's Rump,−58.126,−62.135
Adélie,Pt. Thomas,−58.462,−62.163
Adélie,Seymour,−56.694,−64.295
Adélie,Yalour,−64.164,−65.235
Gentoo,Cape Shirreff,−60.789,−62.46
Gentoo,Cierva Cove,−60.984,−64.143
Gentoo,Copacabana,−58.456,−62.175
Gentoo,Galindez,−64.247,−65.244
Gentoo,Lion's Rump,−58.126,−62.135
Gentoo,Paradise Bay,−62.91,−64.902
Gentoo,Petermann,−64.189,−65.177
Chinstrap,Cape Shirreff,−60.789,−62.46
Chinstrap,Cierva Cove,−60.984,−64.143
Chinstrap,Patelnia,−58.469,−62.236
Chinstrap,Uchatka,−58.439,−62.22
Chinstrap,Vapour,−60.504,−62.962
